doc_id,true_label,predicted_label,confidence,second_best,second_score,margin,is_correct
doc_0004,Reports,Policy_Procedure_Contract,0.07045895297501399,Reports,0.059109539133390704,0.011349413841623288,False
doc_0012,Policy_Procedure_Contract,,,,,,False
doc_0020,Policy_Procedure_Contract,Reports,0.04093684247023751,Policy_Procedure_Contract,0.03644475449466315,0.004492087975574363,False
doc_0025,Policy_Procedure_Contract,Reports,0.0812496208508071,Policy_Procedure_Contract,0.05339289191744379,0.027856728933363308,False
doc_0030,Reports,Policy_Procedure_Contract,0.033570139545621186,Reports,0.02330548963092215,0.010264649914699036,False
doc_0036,Reports,Forms_Structured,0.04507993966520226,Policy_Procedure_Contract,0.04266145461373551,0.0024184850514667525,False
doc_0043,Policy_Procedure_Contract,Reports,0.06568275842739399,Policy_Procedure_Contract,0.03014327761322388,0.035539480814170105,False
doc_0066,Reports,Policy_Procedure_Contract,0.08084981079001646,Reports,0.059466057323935395,0.021383753466081068,False
doc_0082,Forms_Structured,,,,,,False
doc_0083,Forms_Structured,,,,,,False
doc_0091,Forms_Structured,Emails,0.05046786354156834,Forms_Structured,0.04353585159894467,0.006932011942623668,False
doc_0096,Policy_Procedure_Contract,HR_Documents,0.028617101990466305,Forms_Structured,0.021560905375852677,0.007056196614613628,False
