doc_id,true_label,raw_prediction,raw_confidence,raw_margin,raw_used_field,raw_correct,specific_masking_prediction,specific_masking_confidence,specific_masking_margin,specific_masking_used_field,specific_masking_correct,generic_masking_prediction,generic_masking_confidence,generic_masking_margin,generic_masking_used_field,generic_masking_correct
syn_doc_001,Policy_Procedure_Contract,Policy_Procedure_Contract,0.10227989578187424,0.0307616731633249,text,True,Policy_Procedure_Contract,0.10683836097444223,0.024687613138508507,anonymized_text,True,Policy_Procedure_Contract,0.1054696938958538,0.02437134917635647,anonymized_text,True
syn_doc_002,Policy_Procedure_Contract,Policy_Procedure_Contract,0.11411504247091897,0.026399261075651645,text,True,Policy_Procedure_Contract,0.11974139435955039,0.030798180521642918,anonymized_text,True,Policy_Procedure_Contract,0.1195700555386661,0.030754111184015887,anonymized_text,True
syn_doc_003,Policy_Procedure_Contract,Reports,0.07060543423227812,0.006206999124788282,text,False,Policy_Procedure_Contract,0.07263327556754746,0.005777236605280137,anonymized_text,True,Policy_Procedure_Contract,0.07250833064136683,0.005767298510164179,anonymized_text,True
syn_doc_004,Policy_Procedure_Contract,Forms_Structured,0.17737135574955445,0.10009243610961505,text,False,Forms_Structured,0.15183068582486706,0.0697677550332071,anonymized_text,False,Forms_Structured,0.15115500584475677,0.06945727316271386,anonymized_text,False
syn_doc_005,Policy_Procedure_Contract,Policy_Procedure_Contract,0.24726483312411457,0.1897817204479262,text,True,Policy_Procedure_Contract,0.2527245797799087,0.20037133059858858,anonymized_text,True,Policy_Procedure_Contract,0.251769736650556,0.1996142883334162,anonymized_text,True
syn_doc_006,Policy_Procedure_Contract,Policy_Procedure_Contract,0.08818048385449134,0.04309037050486589,text,True,Policy_Procedure_Contract,0.09659614026119351,0.04803884647268235,anonymized_text,True,Policy_Procedure_Contract,0.09628573271791663,0.04788447570512249,anonymized_text,True
syn_doc_007,Policy_Procedure_Contract,Forms_Structured,0.1638585968546,0.08091231918394344,text,False,Forms_Structured,0.14181105271768915,0.046314169750824294,anonymized_text,False,Forms_Structured,0.14058506070640758,0.045913772172247055,anonymized_text,False
syn_doc_008,Policy_Procedure_Contract,Reports,0.09409008554090528,0.03325089312526911,text,False,Reports,0.10443560668446358,0.04008519610449067,anonymized_text,False,Reports,0.10407016747386803,0.03994493070185598,anonymized_text,False
syn_doc_009,Policy_Procedure_Contract,Reports,0.08404658528812765,0.03373149397652313,text,False,Reports,0.07865095596477974,0.027518863977648467,anonymized_text,False,Reports,0.0782122597792681,0.02736537034863252,anonymized_text,False
syn_doc_010,Policy_Procedure_Contract,Reports,0.094836515031075,0.0033342675245810888,text,False,Policy_Procedure_Contract,0.09425308768097974,0.0003140552350890946,anonymized_text,True,Policy_Procedure_Contract,0.09371538625793169,0.0003122635914307309,anonymized_text,True
syn_doc_011,Policy_Procedure_Contract,Policy_Procedure_Contract,0.13232309188464839,0.036972226911090075,text,True,Policy_Procedure_Contract,0.1365926524881183,0.047804864787185194,anonymized_text,True,Policy_Procedure_Contract,0.1353545339319792,0.047371546529661204,anonymized_text,True
syn_doc_012,Policy_Procedure_Contract,Reports,0.085969988340049,0.01822606089529126,text,False,Reports,0.08049484862262381,0.014480807538435572,anonymized_text,False,Reports,0.07968968124103053,0.014335960084361332,anonymized_text,False
syn_doc_013,Policy_Procedure_Contract,Reports,0.12128039960543004,0.04685261908256401,text,False,Reports,0.11855922666373901,0.039240519403171845,anonymized_text,False,Reports,0.11833756406839228,0.03916715391641533,anonymized_text,False
syn_doc_014,Reports,Reports,0.053228371824105725,0.012683461862996064,text,True,Reports,0.05365625563369009,0.011479752572883209,anonymized_text,True,Reports,0.053259554119037295,0.011394878308368883,anonymized_text,True
syn_doc_015,Reports,Reports,0.1530255204062675,0.09105390136463201,text,True,Reports,0.16797986731200662,0.10480098382374425,anonymized_text,True,Reports,0.16708551833610852,0.1042430083112277,anonymized_text,True
syn_doc_016,Reports,Reports,0.07484760290991009,0.02443268129677103,text,True,Reports,0.07564871047877789,0.025095790477873574,anonymized_text,True,Reports,0.07543688598527416,0.025025519576051106,anonymized_text,True
syn_doc_017,Reports,Reports,0.10354228371440281,0.06784307290646714,text,True,Reports,0.10281198584044818,0.06549749017993077,anonymized_text,True,Reports,0.1025511761286919,0.06533133852557893,anonymized_text,True
syn_doc_018,Reports,Forms_Structured,0.04900007187919997,0.010577858662172132,text,False,Forms_Structured,0.0540138833851004,0.023748281682659137,anonymized_text,False,Forms_Structured,0.0538137505093595,0.023660289270168267,anonymized_text,False
syn_doc_019,Reports,Reports,0.10555290966441515,0.05553221687076215,text,True,Reports,0.11492535314789405,0.07459202447170535,anonymized_text,True,Reports,0.11407859486928187,0.07404243804443045,anonymized_text,True
syn_doc_020,Reports,Reports,0.048721646836988416,0.011257120464758179,text,True,Reports,0.054565300845913906,0.013731258986283475,anonymized_text,True,Reports,0.05423291399312921,0.013647614437669868,anonymized_text,True
syn_doc_021,Reports,Reports,0.08861303961039767,0.028580734206576572,text,True,Reports,0.09843860955582592,0.050793529667465386,anonymized_text,True,Reports,0.0983758895944929,0.050761166672588835,anonymized_text,True
syn_doc_022,Reports,Reports,0.08479249002124808,0.03244330359566627,text,True,Reports,0.09184632975448818,0.049433077273539024,anonymized_text,True,Reports,0.09129365637914699,0.0491356201433162,anonymized_text,True
syn_doc_023,Reports,Reports,0.08000175605662185,0.03805127121203873,text,True,Reports,0.08659740225618412,0.04437439386390536,anonymized_text,True,Reports,0.08604347822058936,0.044090551130916096,anonymized_text,True
syn_doc_024,Reports,Reports,0.06384379666964653,0.033943986079397026,text,True,Reports,0.06487803264340875,0.03231030065476709,anonymized_text,True,Reports,0.06463579763411455,0.03218966373560489,anonymized_text,True
syn_doc_025,Reports,Reports,0.07018905178684604,0.03634552200576168,text,True,Reports,0.06942458953076698,0.0421619594134475,anonymized_text,True,Reports,0.06920286231300132,0.042027303176810346,anonymized_text,True
syn_doc_026,Reports,Reports,0.07488614864080018,0.04475793295831079,text,True,Reports,0.07898156210728922,0.044669411426537575,anonymized_text,True,Reports,0.07782774396172021,0.04401684928316271,anonymized_text,True
syn_doc_027,Internal_Communications,Internal_Communications,0.08265233889870595,0.039410383415283655,text,True,Internal_Communications,0.09555654050015033,0.0455270949174024,anonymized_text,True,Internal_Communications,0.09454522763821972,0.04504526357006274,anonymized_text,True
syn_doc_028,Internal_Communications,Internal_Communications,0.07714709070072323,0.020777513962255294,text,True,Internal_Communications,0.081861494921819,0.02347207865426914,anonymized_text,True,Internal_Communications,0.08183800764418728,0.023465344166602217,anonymized_text,True
syn_doc_029,Internal_Communications,Internal_Communications,0.05103178897063536,1.8101674481935115e-05,text,True,Internal_Communications,0.05837830122351966,0.020256656591885046,anonymized_text,True,Internal_Communications,0.05808220342265431,0.02015391376888346,anonymized_text,True
syn_doc_030,Internal_Communications,Forms_Structured,0.059876404156233604,0.004348135603161579,text,False,Internal_Communications,0.05679475833546557,0.008259134344825392,anonymized_text,True,Internal_Communications,0.056828069148809966,0.008263978427107098,anonymized_text,True
syn_doc_031,Internal_Communications,Internal_Communications,0.07579115344943961,0.041073461114863645,text,True,Internal_Communications,0.08323878112659061,0.050620543228818565,anonymized_text,True,Internal_Communications,0.0827064840113494,0.050296833910061664,anonymized_text,True
syn_doc_032,Internal_Communications,Internal_Communications,0.041962353576827524,0.014655899100694331,text,True,Internal_Communications,0.04669477202376217,0.019400640186125074,anonymized_text,True,Internal_Communications,0.0464432743242559,0.019296148480430996,anonymized_text,True
syn_doc_033,Internal_Communications,Internal_Communications,0.06981537524258032,0.014714296713079424,text,True,Internal_Communications,0.07134152103455674,0.014376179970710772,anonymized_text,True,Internal_Communications,0.07137453592976793,0.015335608585162377,anonymized_text,True
syn_doc_034,Internal_Communications,Internal_Communications,0.03550646445169583,0.012119934016210924,text,True,Internal_Communications,0.03670846697786606,0.012873596685563201,anonymized_text,True,Internal_Communications,0.036769108903033705,0.012894863705167021,anonymized_text,True
syn_doc_035,Internal_Communications,Internal_Communications,0.0482189557422788,0.011131544283495463,text,True,Internal_Communications,0.049729441211236555,0.012799247889116759,anonymized_text,True,Internal_Communications,0.04970633684480367,0.01279330134103391,anonymized_text,True
