doc_id,true_label,tfidf_prediction,tfidf_confidence,tfidf_margin,tfidf_used_field,tfidf_correct,embedding_prediction,embedding_confidence,embedding_margin,embedding_used_field,embedding_correct,embedding_large_prediction,embedding_large_confidence,embedding_large_margin,embedding_large_used_field,embedding_large_correct,zeroshot_prediction,zeroshot_confidence,zeroshot_margin,zeroshot_used_field,zeroshot_correct,zeroshot_large_prediction,zeroshot_large_confidence,zeroshot_large_margin,zeroshot_large_used_field,zeroshot_large_correct
doc_0001,Reports,Reports,0.05906160469778114,0.004628019111792267,anonymized_text,True,Reports,0.6882309913635254,0.03372609615325928,anonymized_text,True,Reports,0.6643798351287842,0.06322664022445679,anonymized_text,True,Reports,0.3725871741771698,0.17117568850517273,anonymized_text,True,Reports,0.235663041472435,0.06833867728710175,anonymized_text,True
doc_0002,Reports,Reports,0.048639765631044836,0.036335299899073026,anonymized_text,True,Reports,0.6870700120925903,0.05763810873031616,anonymized_text,True,Reports,0.6324955821037292,0.10994535684585571,anonymized_text,True,Reports,0.3023378252983093,0.12083792686462402,anonymized_text,True,Reports,0.27280548214912415,0.039810895919799805,anonymized_text,True
doc_0003,Policy_Procedure_Contract,Policy_Procedure_Contract,0.04607870014434257,0.007117158728124226,anonymized_text,True,Needs_Review,0.5976325273513794,0.005464076995849609,anonymized_text,False,Policy_Procedure_Contract,0.5626070499420166,0.0230444073677063,anonymized_text,True,Needs_Review,0.28358951210975647,0.008682727813720703,anonymized_text,False,Emails,0.7932923436164856,0.7409159429371357,anonymized_text,False
doc_0004,Reports,Policy_Procedure_Contract,0.056239086733925914,0.017545364447833882,anonymized_text,False,Reports,0.6767467856407166,0.03421616554260254,anonymized_text,True,Reports,0.6433690786361694,0.0922120213508606,anonymized_text,True,Reports,0.4035193622112274,0.23749028146266937,anonymized_text,True,Reports,0.4038691222667694,0.2249443680047989,anonymized_text,True
doc_0005,Reports,Reports,0.05251901041576882,0.00788792792438578,anonymized_text,True,Reports,0.6740134954452515,0.039218008518218994,anonymized_text,True,Reports,0.6649433374404907,0.10726767778396606,anonymized_text,True,Reports,0.29914748668670654,0.08493594825267792,anonymized_text,True,Reports,0.7803359031677246,0.7162397801876068,anonymized_text,True
doc_0006,Policy_Procedure_Contract,Policy_Procedure_Contract,0.1998917496529075,0.17338110584671076,anonymized_text,True,Policy_Procedure_Contract,0.6816901564598083,0.06586349010467529,anonymized_text,True,Policy_Procedure_Contract,0.6309051513671875,0.020614027976989746,anonymized_text,True,Internal_Communications,0.21681809425354004,0.03466042876243591,anonymized_text,False,Emails,0.5633206367492676,0.44321323186159134,anonymized_text,False
doc_0007,Policy_Procedure_Contract,Policy_Procedure_Contract,0.09373496638253537,0.07514404437309066,anonymized_text,True,Policy_Procedure_Contract,0.6777359247207642,0.05256843566894531,anonymized_text,True,Policy_Procedure_Contract,0.6214954257011414,0.01719987392425537,anonymized_text,True,Internal_Communications,0.21681809425354004,0.03466042876243591,anonymized_text,False,Emails,0.5633206367492676,0.44321323186159134,anonymized_text,False
doc_0008,Policy_Procedure_Contract,Policy_Procedure_Contract,0.17928309217238067,0.1431627115490947,anonymized_text,True,Policy_Procedure_Contract,0.7500764727592468,0.13139593601226807,anonymized_text,True,Policy_Procedure_Contract,0.6683468818664551,0.11998867988586426,anonymized_text,True,Internal_Communications,0.22208057343959808,0.03798587620258331,anonymized_text,False,Emails,0.33696162700653076,0.05122298002243042,anonymized_text,False
doc_0009,Policy_Procedure_Contract,Policy_Procedure_Contract,0.07728454806208275,0.06495259901846429,anonymized_text,True,Policy_Procedure_Contract,0.7220062017440796,0.07173711061477661,anonymized_text,True,Policy_Procedure_Contract,0.6099956035614014,0.08324724435806274,anonymized_text,True,Needs_Review,0.23321232199668884,0.029010295867919922,anonymized_text,False,HR_Documents,0.34109118580818176,0.05478250980377197,anonymized_text,False
doc_0010,Policy_Procedure_Contract,Policy_Procedure_Contract,0.1746319034449307,0.15268627646910962,anonymized_text,True,Policy_Procedure_Contract,0.7061328291893005,0.09994959831237793,anonymized_text,True,Policy_Procedure_Contract,0.5995475053787231,0.05166500806808472,anonymized_text,True,Forms_Structured,0.317955881357193,0.14342786371707916,anonymized_text,False,Reports,0.3736228346824646,0.12974315881729126,anonymized_text,False
